label,config_id,restart_id,restart_seed,t_nuc_cluster,nucleated,p_seed,c_seed,seed_compactness,seed_rg,seed_perimeter,seed_perimeter_to_area,p_ordered_seed,c_ordered_seed,ordered_seed_compactness,ordered_seed_rg,ordered_seed_perimeter,ordered_seed_perimeter_to_area
1.1,0,2,2425368,219.70000000000002,1,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,3,2425405,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,4,2425442,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,5,2425479,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,6,2425516,217.70000000000002,1,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,7,2425553,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,8,2425590,172.9,1,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,9,2425627,98.4,1,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,10,2425664,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,11,2425701,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,12,2425738,285.7,1,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,13,2425775,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,14,2425812,,0,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,0,15,2425849,174.3,1,0.07421875,10.0,0.625,1.4212670403551897,18.0,1.8,0.0,0.0,0.0,,0.0,
1.1,1,0,2426303,182.4,1,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,1,2426340,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,2,2426377,165.9,1,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,3,2426414,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,4,2426451,274.7,1,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,5,2426488,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,6,2426525,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,7,2426562,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,8,2426599,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,9,2426636,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,10,2426673,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,11,2426710,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,12,2426747,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,13,2426784,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,14,2426821,291.2,1,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,1,15,2426858,,0,0.0771484375,25.0,0.46296296296296297,2.7770487932335652,32.0,1.28,0.0,0.0,0.0,,0.0,
1.1,2,0,2427312,221.5,1,0.092041015625,16.0,0.45714285714285713,2.1560235388325424,26.0,1.625,0.0,0.0,0.0,,0.0,
