model,init_mode,N,dx,dt,tmax,preeq_steps,a_f,b,c,D_f,label,a_i,D_i,sample_id,phi_b,phi_s,ordered_threshold,q_threshold,ordered_fraction_threshold,cluster_threshold,p_seed,c_seed,t_nuc_area,t_nuc_cluster,t_tr
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.126708984375,20.0,153.3,157.20000000000002,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.1201171875,22.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.13916015625,19.0,191.1,192.1,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.134765625,12.0,119.9,120.8,168.81309357134523
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.140380859375,39.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.134033203125,12.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.125,17.0,175.3,176.6,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.113037109375,10.0,106.4,108.10000000000001,152.80288504424988
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.125732421875,27.0,184.8,185.8,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.12060546875,13.0,153.6,154.8,196.52419031752643
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.115234375,17.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.128173828125,12.0,137.70000000000002,138.3,182.18543228591673
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.124267578125,14.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.122314453125,19.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.13037109375,11.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.12890625,17.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.125,20.0,120.2,121.10000000000001,169.30812602503238
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,1.5,0.3,0.03,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.145751953125,25.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.20849609375,36.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.186279296875,22.0,118.9,121.5,169.13687718863653
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.186279296875,33.0,157.20000000000002,157.9,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.1826171875,16.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.188720703125,51.0,192.8,194.0,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.184814453125,27.0,173.9,175.70000000000002,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.18115234375,37.0,183.1,183.6,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.198486328125,30.0,100.7,102.4,143.13565920917688
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.183837890625,31.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.189453125,24.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.183349609375,34.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.19482421875,27.0,173.3,174.0,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,12,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.185791015625,21.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,13,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.190673828125,32.0,117.4,120.10000000000001,163.14118671994848
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,14,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.185546875,20.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,15,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.187255859375,25.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,16,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.19775390625,27.0,166.70000000000002,167.70000000000002,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,17,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.181884765625,27.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,18,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.1689453125,14.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,2.0,0.3,0.04,19,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.198486328125,32.0,167.70000000000002,169.0,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,0,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.269775390625,34.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,1,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.28466796875,59.0,191.5,193.9,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,2,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.284912109375,36.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,3,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.2744140625,40.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,4,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.296142578125,43.0,98.60000000000001,100.3,146.8519614330277
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,5,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.2783203125,39.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,6,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.279052734375,43.0,111.2,113.0,154.53239708343972
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,7,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.294921875,62.0,51.800000000000004,53.7,104.43062102713536
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,8,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.28662109375,51.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,9,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.28857421875,55.0,169.70000000000002,172.1,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,10,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.30029296875,42.0,nan,nan,nan
phi6,preeq,64,1.0,0.02,200.0,500,0.02,1.0,1.0,0.01,3.0,0.3,0.06,11,0.14288753503622362,0.9897389314012417,0.49486946570062085,0.4897915761656359,0.001,10,0.29296875,44.0,146.4,147.20000000000002,192.29072022699006
